ExperimentName,Subject,Session,Clock.Information,Display.RefreshRate,Group,PreTaskInstruc.DurationError,PreTaskInstruc.OnsetDelay,PreTaskInstruc.OnsetTime,RandomSeed,Ready1.OnsetTime,Ready1.RTTime,Ready2.OnsetTime,Ready2.RT,SessionDate,SessionTime,SessionTimeUtc,Block,AwareFaces.DurationError[Block],AwareFaces.OnsetDelay[Block],AwareFaces.OnsetTime[Block],BottomFace[Block],bottommask[Block],BottomProbe[Block],EmoPosition[Block],ExperBlockList,ExperBlockList.Cycle,ExperBlockList.Sample,Face[Block],PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,Probe[Block],ProbePosition[Block],Procedure[Block],Running[Block],StimDuration[Block],Target.ACC[Block],Target.CRESP[Block],Target.DurationError[Block],Target.OnsetDelay[Block],Target.OnsetTime[Block],Target.RESP[Block],Target.RT[Block],Target.RTTime[Block],TopFace[Block],topmask[Block],TopProbe[Block],TrialType[Block],Valence[Block],Trial,AwareFaces.DurationError[Trial],AwareFaces.OnsetDelay[Trial],AwareFaces.OnsetTime[Trial],BottomFace[Trial],bottommask[Trial],BottomProbe[Trial],EmoPosition[Trial],Face[Trial],Probe[Trial],ProbePosition[Trial],Procedure[Trial],Running[Trial],StimDuration[Trial],Target.ACC[Trial],Target.CRESP[Trial],Target.DurationError[Trial],Target.OnsetDelay[Trial],Target.OnsetTime[Trial],Target.RESP[Trial],Target.RT[Trial],Target.RTTime[Trial],TopFace[Trial],topmask[Trial],TopProbe[Trial],TrialList,TrialList.Cycle,TrialList.Sample,TrialType[Trial],Valence[Trial]
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,11,0,16,145646,XN.bmp,,E,,,,,X,6,1,11,E,bottom,PracTrialProcAware,PracTrialList,500,0,,-999999,16,146162,1,585,146747,XN.bmp,,,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,12,0,16,148293,VN.bmp,,E,,,,,V,11,1,12,E,bottom,PracTrialProcAware,PracTrialList,500,0,,-999999,16,148809,1,610,149419,VN.bmp,,,practice,neuneu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,13,,,,,,,,1,1,1,,,,,,,BlockProc,ExperBlockList,,,,,,,,,,,,,,,1,0,32,189311,LD.bmp,,F,bottom,L,F,bottom,AwareTrialProc,TrialList,500,0,,-999999,16,189827,2,567,190394,LN.bmp,,,44,1,1,critical,disgustneu
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,13,,,,,,,,1,1,1,,,,,,,BlockProc,ExperBlockList,,,,,,,,,,,,,,,2,0,32,191958,AN.bmp,,,top,A,E,top,AwareTrialProc,TrialList,500,0,,-999999,16,192474,1,480,192954,AH.bmp,,E,49,1,2,critical,happyneu
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,13,,,,,,,,1,1,1,,,,,,,BlockProc,ExperBlockList,,,,,,,,,,,,,,,3,0,16,194489,LD.bmp,,E,bottom,L,E,bottom,AwareTrialProc,TrialList,500,0,,-999999,16,195005,1,613,195618,LN.bmp,,,42,1,3,critical,disgustneu
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,13,,,,,,,,1,1,1,,,,,,,BlockProc,ExperBlockList,,,,,,,,,,,,,,,4,0,33,197169,CN.bmp,,E,,C,E,bottom,AwareTrialProc,TrialList,500,0,,-999999,16,197685,1,573,198258,CN.bmp,,,95,1,4,filler,neuneu
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,13,,,,,,,,1,1,1,,,,,,,BlockProc,ExperBlockList,,,,,,,,,,,,,,,5,0,16,199799,JN.bmp,,,,J,F,top,AwareTrialProc,TrialList,500,0,,-999999,16,200315,2,559,200874,JN.bmp,,F,22,1,5,filler,neuneu
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,13,,,,,,,,1,1,1,,,,,,,BlockProc,ExperBlockList,,,,,,,,,,,,,,,6,0,16,202413,CN.bmp,,,,C,F,top,AwareTrialProc,TrialList,500,0,,-999999,16,202929,2,561,203490,CN.bmp,,F,94,1,6,filler,neuneu
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,13,,,,,,,,1,1,1,,,,,,,BlockProc,ExperBlockList,,,,,,,,,,,,,,,7,0,16,205026,CN.bmp,,,,C,E,top,AwareTrialProc,TrialList,500,0,,-999999,16,205542,1,476,206018,CN.bmp,,E,93,1,7,filler,neuneu
DP_Faces_A_new_2,501,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2394030000</Frequency><Timestamp dt:dt=""r8"">1.92503061321221E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2013-05-23T19:51:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",60.071,1,-999999,7,184717,1194644594,116114,117831,187697,1077,5/23/13,12:51:23,7:51:23 PM,13,,,,,,,,1,1,1,,,,,,,BlockProc,ExperBlockList,,,,,,,,,,,,,,,8,0,16,207557,KN.bmp,,,,K,F,top,AwareTrialProc,TrialList,500,0,,-999999,16,208073,2,577,208650,KN.bmp,,F,34,1,8,filler,neuneu
